"Authors","Author full names","Author(s) ID","Title","Year","Source title","Link","Abstract","Author Keywords"
"RamachandranPillai R.; Arock M.","RamachandranPillai, Resmi (57211461510); Arock, Michael (57220206852)","57211461510; 57220206852","An Adaptive Spiking Neural P System for Solving Vehicle Routing Problems","2020","Arabian Journal for Science and Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074016731&doi=10.1007%2fs13369-019-04153-6&partnerID=40&md5=a2ec66ed02e268fbc89046d6e3c69d63","The capabilities of membrane computing frameworks in solving multi-objective constrained optimization problems have invited many researchers to focus their efforts on developing new methods and computational paradigms. Getting motivated from the computational completeness of membrane computing systems (P systems), this paper proposes a new way of solving vehicle routing problems (VRP) using one of the most eminent membrane computing frameworks called spiking neural P systems (SNPS). A new model for SNPS has been recommended both for finding the optimal solutions and for optimizing the parameters that are used in the calculation of minimum feasible insertion cost of the customer insertion phase of VRP without using any heuristic operators. The SNPS suggested here is an adaptive SNPS in which some potentials (ATSNPS) with learning and training facilities are incorporated. Being an NP-hard problem with numerous applications in many areas such as gas distribution management, postal delivery, and truck dispatching, the benefits of this study are far-reaching. Here, a variant of VRP called VRP with time windows (VRPTW) has been used in the proposed system. Since this is the first attempt to find solutions of VRP using ATSNPS, a comparison has been made with the algorithms used over VRPTW. The analysis of results proved that the proposed ATSNPS is substantially superior to the state-of-the-art algorithms in terms of computational time and optimizing the attributes such as the average number of vehicles used and the total distance traveled. © 2019, King Fahd University of Petroleum & Minerals.","Artificial neural networks; Membrane computing; Spiking neural P system; Vehicle routing problem with time windows"
"Abdullatif N.; Kassem S.","Abdullatif, Nour (57220957356); Kassem, Sally (56960108100)","57220957356; 56960108100","Modelling of agent-based vehicle routing problem using unified modelling language","2020","Journal Europeen des Systemes Automatises","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098491627&doi=10.18280%2fjesa.530604&partnerID=40&md5=7a54a7e70d36d35be72b5b26c2381c31","The Vehicle Routing Problem (VRP) is among the most studied optimization problems in the field of supply chain management. Typically, VRP requires dispatching a fleet of vehicles from a central depot to deliver demand to pre-determined spatially dispersed customers, with the objective of minimizing the total routing cost, and the constraint of not exceeding vehicles' capacities. Agent Based Modelling (ABM) assists industries in the use of technology to support their decision-making process. This paper proposes a model of an Agent Based Vehicle Routing Problem System. The system under study is modelled using the Unified Modelling Language 2.0 (UML 2.0). The aim of the proposed model is to exploit the clear visualization provided by UML and the detailed view of the Agent-based modelling, in order to propose a new modeling perspective for the classic VRP. The paper covers the System initiation phase, in addition to, the functional, behavioral, and structural models. © 2020 Lavoisier. All rights reserved.","Agent-based modelling; UML modelling; VRP"
"Fan H.; Zhang X.; Ren X.; Liu P.","Fan, Houming (56085694700); Zhang, Xuan (57219728033); Ren, Xiaoxue (57212061345); Liu, Pengcheng (57208316889)","56085694700; 57219728033; 57212061345; 57208316889","Optimization of multi-depot open split delivery vehicle routing problem with simultaneous delivery and pick-up","2021","Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110522188&doi=10.12011%2fSETP2019-1465&partnerID=40&md5=320e1ab265a108f51b1d9baf1c08df72","Aiming at the multi-depot open split delivery vehicle routing problem with simultaneous delivery and pick-up (MDOSDVRPSDP), a vehicle routing optimization model is established for minimizing the total cost, which includes vehicle dispatching cost, tally cost and transportation cost. The hybrid genetic algorithm (HGA) is proposed to solve this problem. The randomness and ergodicity of chaotic systems are used to generate initial populations for the diversity of initial populations. Perturbation strategy and neighborhood scale reduction strategy are introduced to improve the search efficiency. A combination of elite strategy and roulette strategy is used to balance the diversity and quality of population. The validity of the model and algorithm is verified by comparison of multiple sets of numerical examples. The research results extend relevant theories of vehicle routing problem (VRP), which can not only provide a new idea for solving the problem of MDOSDVRPSDP, but also provide a theoretical basis for relevant decisions of logistics enterprises. © 2021, Editorial Board of Journal of Systems Engineering Society of China. All right reserved.","Hybrid genetic algorithm; Multi-depot; Simultaneous delivery and pick-up; Split delivery; Vehicle routing problem"
"Abreu L.R.; Tavares-Neto R.F.; Nagano M.S.","Abreu, Levi R. (57203718253); Tavares-Neto, Roberto F. (36190009200); Nagano, Marcelo S. (23061561000)","57203718253; 36190009200; 23061561000","A new efficient biased random key genetic algorithm for open shop scheduling with routing by capacitated single vehicle and makespan minimization","2021","Engineering Applications of Artificial Intelligence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109213434&doi=10.1016%2fj.engappai.2021.104373&partnerID=40&md5=6634c76777c96a9769bf69dcf7aa65e2","Over the last years, researchers have been paying particular attention to scheduling problems integrating production environments and distribution systems to adopt more realistic assumptions. This paper aims to present a new biased random key genetic algorithm with an iterated greedy local search procedure (BRKGA-IG) for open shop scheduling with routing by capacitated vehicles. We propose approximation and exact algorithms to obtain high-quality solutions in acceptable computational times. This paper presents a new integer linear programming model. The proposed integer model has not been addressed in the revised literature. The objective function adopted is makespan minimization, and we use the relative deviation as performance criteria. BRKGA-IG has a new decoding scheme for OSSP-VRP solutions, an intensive exploitation mechanism with an iterated greedy local search procedure, and a restart mechanism to reduce premature population convergence. With these new mechanisms, the extensive computational experience carried out shows that the proposed metaheuristic BRKGA-IG is promising in solving large-sized instances for the new proposed problem, outperforming all other tested methods. © 2021 Elsevier Ltd","Evolutionary algorithms; Hybrid algorithms; Integrated scheduling; Open shop"
"Barros L.; Linfati R.; Escobar J.W.","Barros, L. (57225111695); Linfati, R. (55250033800); Escobar, J.W. (55250091100)","57225111695; 55250033800; 55250091100","An exact approach for the consistent vehicle routing problem (ConVRP)","2020","Advances in Production Engineering And Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109126206&doi=10.14743%2fapem2020.3.363&partnerID=40&md5=096192ea9c2c3e6ccee7b18e0e9378a2","This paper proposes a mathematical model for the Consistent Vehicle Routing Problem (ConVRP). The ConVRP is an extension of the VRP, considering customer satisfaction through consistent service. The consistency may be based on time or on the vehicle that offers the service. This paper proposes a novel mathematical model that allows solving the ConVRP for several companies for which visits to the customers need to be from the same service provider (namely, the same vehicle and driver). The efficiency of the model is tested on structured instances by changing customer distribution (uniform or clustered), depot location, and arrival time to the customer and removing certain constraints to see if they affect the performance of the objective function. The mathematical model is flexible and could be adapted to any characteristic of instances. The model was developed in the AMPL programming language and solved with the solvers CPLEX and Gurobi. The results are promising based on the efficiency of the proposed method at solving the problem. © 2020 CPE, University of Maribor. All rights reserved.","Consistent vehicle routing (ConVRP); CPLEX; Exact algorithms; Gurobi; Mathematical model; Mixed integer linear programming model; Modelling; Optimization; Vehicle routing problem (VRP)"
"Fallahtafti A.; Karimi H.; Ardjmand E.; Ghalehkhondabi I.","Fallahtafti, Alireza (57211201264); Karimi, Hossein (55386673900); Ardjmand, Ehsan (55625571400); Ghalehkhondabi, Iman (57191376888)","57211201264; 55386673900; 55625571400; 57191376888","Time slot management in selective pickup and delivery problem with mixed time windows","2021","Computers and Industrial Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109848285&doi=10.1016%2fj.cie.2021.107512&partnerID=40&md5=f4dcd0cdf83f3fd3d566b5a645a067f7","The selective pickup and delivery problem addresses real-life issues in logistics and transportation. The aim is to optimally select some pickup locations to collect the required demands and unload commodities at delivery locations. Everyday, much of such logistics processes are outsourced to Third-Party Logistics (3PL) companies. However, decentrally truck scheduling by 3PLs specifically when there are only a limited number of warehouse loading docks and time slots will likely cause the random arrival of carriers at warehouses, capacity violation at loading docks, and consequently increased total costs. This study offers a promising approach to optimize the intricate problem of coordination in transportation logistics. We present an integrated time slot allocation and selective pickup and delivery problem while taking real-world variants and constraints, including mixed time windows and capacity, into consideration. To achieve this, we propose a mixed-integer linear programming formulation for the problem. To solve the model, we utilize some valid inequalities and constraints tightening method to strengthen its linear programming relaxation. In addition, a sensitivity analysis is performed on different problem features to validate the presented model. Computational results illustrate the effectiveness of the presented model and valid inequalities in providing faster and tighter results. With respect to the solution time and the number of nodes, the average of both measures drastically is reduced by approximately 90%, followed by tight lower bounds. Furthermore, the value of the integrated model is investigated on larger-sized instances, which shows the proposed model can achieve significant savings and gains compared to the decomposed subproblems of vehicle routing and time slot allocation. © 2021 Elsevier Ltd","Loading dock allocation; Mixed time windows; Selective VRP; Supplier selection; Time slot management; Valid inequality"
"Lim H.; Lee G.M.; Singgih I.K.","Lim, Hyunpae (57226886781); Lee, Gyu M. (56204679300); Singgih, Ivan Kristianto (57095064900)","57226886781; 56204679300; 57095064900","Multi-depot split-delivery vehicle routing problem","2021","IEEE Access","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113231931&doi=10.1109%2fACCESS.2021.3103640&partnerID=40&md5=9911042661e18228ada0595a04b9b3e5","The rapid advancements in information technologies and globalization change the way of distributing goods to customers. Many enterprises have multiple factories, warehouses, and distribution centers and strive for competitive efficiency in the distribution operations to minimize transportation costs. This study proposed the mixed-integer programming (MIP) model for the multi-depot split-delivery vehicle routing problems (MDSDVRPs) with hetero vehicles, allowing multiple visits to a customer. A genetic algorithm (GA) with a novel two-dimensional chromosome representation has been proposed with dynamic mutation policies. The process parameters of the proposed GA are optimized using the Taguchi method. The proposed algorithms showed the benefits of split-delivery in MDSDVRPs and showed the competitive performance even for the classical single-depot vehicle routing problems with no split-delivery.  © 2013 IEEE.","genetic algorithm (GA); multi-depot split-delivery VRP; taguchi method; Vehicle routing problem (VRP)"
"Prajapati D.; Kumar M.M.; Pratap S.; Chelladurai H.; Zuhair M.","Prajapati, Dhirendra (57215023349); Kumar, M. Manoj (57714148900); Pratap, Saurabh (56667217800); Chelladurai, H. (24075425500); Zuhair, Mohd (56341258100)","57215023349; 57714148900; 56667217800; 24075425500; 56341258100","Sustainable Logistics Network Design for Delivery Operations with Time Horizons in B2B E-Commerce Platform","2021","Logistics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129033274&doi=10.3390%2flogistics5030061&partnerID=40&md5=f2fd079db9f1f3ee7045b5b2b86df3e9","In the recent era, the rapidly increasing trend of e-commerce business creates opportunities for logistics service providers to grow globally. With this growth, the concern regarding the implementation of sustainability in logistic networks has received attention in recent years. Thus, in this work, we have focused on the vehicle routing problem (VRP) to deliver the products in a lesser time horizon with driver safety concern considerations in business (B2B) e-commerce platforms. We proposed a sustainable logistics network that captures the complexities of suppliers, retailers, and logistics service providers. A mixed-integer nonlinear programming (MINLP) approach is applied to formulate a model to minimize total time associated with order processing, handling, packaging, shipping, and vehicle maintenance. Branch-and-bound algorithms in the LINGO optimization tool and genetic algorithm (GA) are used to solve the formulated mathematical model. The computational experiments are performed in eight different case scenarios (small-sized problem to large-sized problem) to validate the model. © 2021 by the authors.","B2B e-commerce logistics; exact optimization; metaheuristic approaches; sustainability; time horizons; VRP"
"Asghari M.; Mirzapour Al-e-hashem S.M.J.","Asghari, Mohammad (57197032626); Mirzapour Al-e-hashem, S. Mohammad J. (57200776002)","57197032626; 57200776002","Green vehicle routing problem: A state-of-the-art review","2021","International Journal of Production Economics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093644248&doi=10.1016%2fj.ijpe.2020.107899&partnerID=40&md5=a23feb8a763672035a80afa0026be8e5","As energy overuse and generated pollution have a potential threat to our environmental and ecological conditions, many researchers have taken the initiative way to join the green campaign to prevent more damage to the environment. This paper investigates the main contributions related to the green vehicle routing problem (Green-VRP) and presents a classification scheme based on its variants considered in scientific literature, in particular, three major and applicable streams including internal combustion engine vehicles (ICEVs), alternative-fuel powered vehicles (AFVs), and hybrid electric vehicles (HEVs), and also several sub-categories for each of them. This systematic literature review intends to provide a comprehensive and structured survey of the state of knowledge and discuss the most important characteristics of the problems, including techniques of formulation, solution methodologies, and areas of application. This paper presents different analytical summary tables for each variant to emphasize some main features that provide the direction of the development of researches. Finally, to spot future avenues, gaps in the literature are distinguished to illustrate how new contributions are different from traditional problems. © 2020 Elsevier B.V.","Alternative-fuel powered vehicles; Green vehicle routing problem; Hybrid electric vehicles; Internal combustion engine vehicles; Systematic literature review"
"Galindres-Guancha L.F.; Toro-Ocampo E.; Gallego-Rendón R.","Galindres-Guancha, Luis Fernando (57194428917); Toro-Ocampo, Eliana (25960464900); Gallego-Rendón, Ramón (7005774967)","57194428917; 25960464900; 7005774967","A biobjective capacitated vehicle routing problem using metaheuristic ils and decomposition","2021","International Journal of Industrial Engineering Computations","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104945684&doi=10.5267%2fj.ijiec.2021.2.002&partnerID=40&md5=08c4e27344f3004f1b0ca6f93694a8f4","Vehicle routing problems (VRPs) have usually been studied with a single objective function defined by the distances associated with the routing of vehicles. The central problem is to design a set of routes to meet the demands of customers at minimum cost. However, in real life, it is necessary to take into account other objective functions, such as social functions, which consider, for example, the drivers' workload balance. This has led to growth in both the formulation of multiobjective models and exact and approximate solution techniques. In this article, to verify the quality of the results, first, a mathematical model is proposed that takes into account both economic and work balance objectives simultaneously and is solved using an exact method based on the decomposition approach. This method is used to compare the accuracy of the proposed approximate method in test cases of medium mathematical complexity. Second, an approximate method based on the Iterated Local Search (ILS) metaheuristic and Decomposition (ILS/D) is proposed to solve the biobjective Capacitated VRP (bi-CVRP) using test cases of medium and high mathematical complexity. Finally, the nondominated sorting genetic algorithm (NSGA-II) approximate method is implemented to compare both medium-and high-complexity test cases with a benchmark. The obtained results show that ILS/D is a promising technique for solving VRPs with a multiobjective approach. © 2021 by the authors; licensee Growing Science, Canada.","Decomposition; Iterated Local Search; Multiobjective Optimization; Vehicle Routing Problem"
"Molina J.C.; Salmeron J.L.; Eguia I.; Racero J.","Molina, Jose C. (57189985598); Salmeron, Jose L. (7005863394); Eguia, Ignacio (7801457881); Racero, Jesus (14034572500)","57189985598; 7005863394; 7801457881; 14034572500","The heterogeneous vehicle routing problem with time windows and a limited number of resources","2020","Engineering Applications of Artificial Intelligence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086821476&doi=10.1016%2fj.engappai.2020.103745&partnerID=40&md5=2663087785d5509c3857ff213a2a513b","This paper introduces the heterogeneous vehicle routing problem with time windows and a limited number of resources (HVRPTW-LR), a practical extension of the classical vehicle routing problem in which routes to be designed share common scarce resources. The HVRPTW-LR arises when a limited number of resources, such as vehicles, drivers, instruments, and so on, are available but are insufficient to serve all customers in a route planning. Therefore, the route design involves the selection of customers to be visited at each route and resources to be used. Applications to this problem are found in real services companies with high seasonal demand which attend to different types of works and have to decide on how to effectively manage their resources. For designing optimal routes, a hierarchical objective function is considered, maximizing the total number of served customers as the primary objective, and minimizing the travel costs as secondary. A mathematical model of linear programming is introduced to describe and understand all constraints clearly. The problem is first heuristically solved by a semi-parallel insertion heuristic. Then, solutions are improved by a hybrid variable neighborhood descent metaheuristic based on a Tabu Search algorithm for the exploration of the neighborhood and a holding list. Experiments are conducted on numerous sets of benchmark instances from the literature to evaluate the performance of the proposed algorithm. Results show that the algorithm proposed in this paper has a good performance and can be easily applied for solving numerous vehicle routing problem variants from the literature. A new set of benchmark cases for the HVRPTW-LR are also presented and solved. © 2020 Elsevier Ltd","Analytical and numerical modeling; Fixed heterogeneous fleet; Performance analysis; Variable neighborhood descent; Vehicle routing problem; VRP with time windows"
"Wu Y.; Huang M.; Yu J.; Wang Q.","Wu, Yongzhong (55707413300); Huang, Mianmian (57201552469); Yu, Jianjun (55682082300); Wang, Qiran (57218346254)","55707413300; 57201552469; 55682082300; 57218346254","A VNS solution and objectives tradeoffs for real-life large-scale vehicle routing problems","2021","International Journal of Industrial and Systems Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124241821&doi=10.1504%2fIJISE.2021.120661&partnerID=40&md5=e3e95a3370ae5bbde0735becdf059061","With the fast development of urban logistics, real-life vehicle routing problems (VRP) are characterised by their large size and complicated objectives and constraints. In contrast, most research on VRP has been based on classic test cases which are relatively small and have standard objectives. By investigating the case of a real urban security carrier in China, this paper proposes an efficient variable neighbourhood search (VNS) for large-scale VRP with various objectives and constraints, including number of vehicles, total travel time, total travel distance, total waiting time and total late time. The method is used to explore the tradeoffs among different objectives and constraints. It is found that although these objectives and constraints are contradictory by nature, increasing the weighting factor of one does not necessarily undermine (or at least not significantly undermine) the others. Such dynamics in the tradeoffs among different objectives provides users with more flexibility. Copyright © 2021 Inderscience Enterprises Ltd.","Large-scale; Variable neighbourhood search; Vehicle routing problem; VNS; VRP"
"Zangina U.; Buyamin S.; Abidin M.S.Z.; Mahmud M.S.A.","Zangina, Umar (54404367400); Buyamin, Salinda (22333814300); Abidin, M.S.Z. (55402807500); Mahmud, M.S.A. (57189238084)","54404367400; 22333814300; 55402807500; 57189238084","Agricultural rout planning with variable rate pesticide application in a greenhouse environment","2021","Alexandria Engineering Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100389944&doi=10.1016%2fj.aej.2021.01.010&partnerID=40&md5=ec41256b467749663cd58288de41016a","The use of robotics in executing agricultural tasks has significantly improved productivity over the years as a result of automation in performing such activities as spray, harvesting, planting etc. In order to optimize both crop yield and quality while minimizing costs, there will be need for the application of navigation strategies. These will provide optimal as well as autonomous navigation capability which is built entirely upon field coverage plan thereby making robot navigation approach a paramount scheme. In this paper, the autonomy of an agricultural mobile robot is enhanced in a structured environment (greenhouse farm) to locate an optimum route such that the robot performs a selective and variable spray of pesticides to the plants. To realize this, a robust vehicle routing problem (VRP) scheme is designed to navigate the robot autonomously while making intelligent decisions to fulfil the pesticide demands at each node (infected plants). The improved non-dominated sorting genetic algorithm (INSGA-III) is adopted to solve this fully integer problem based on three (3) test cases carried out with 8, 32 and 56 infected plants respectively for validation. The results obtained show a trade-off solution as the Optimal INSGA-III is significantly lower than NSGA-III in terms of solution quality. On the other hand, a significant reduction in run times of between 66% and 76% and 76–93% was obtained for all test case scenarios for population sizes of 100 and 1500 respectively. © 2021 THE AUTHORS","Crop; Greenhouse; INSGA-III; Robot; VRP"
"Xie Y.; Guo Y.; Zhou T.; Mi Z.; Yang Y.; Sadoun B.; Obaidat M.S.","Xie, Yuanyan (57215671824); Guo, Yu (57191161506); Zhou, Tong (57211492847); Mi, Zhenqiang (56957756700); Yang, Yang (55719936300); Sadoun, Balqies (6603378242); Obaidat, Mohammad S. (7005628795)","57215671824; 57191161506; 57211492847; 56957756700; 55719936300; 6603378242; 7005628795","A Strategy to Alleviate Rush Hour Traffics in Urban Areas Based on School-Trip Commute Information","2021","IEEE Systems Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110809435&doi=10.1109%2fJSYST.2020.3021005&partnerID=40&md5=5060a2034704b1a5450e316b2f836009","As one of the main social issues in the 21st century, urban traffic congestion has become a severe challenge, especially during rush hours. Investigation indicates relationships between school-Trip commutes, i.e., students' trips to and from school, and traffic congestion. Therefore, optimizing traffic in terms of the school-Trip commute is considered as an important practice of smart cities. This article proposes a long-coding adapted genetic algorithm for large-scale school district replanning. Moreover, the fitness function takes into account both the congestion coefficient model and the grayscale difference model, which can reduce the traffic congestion as well as balance the traffic load on school-Trip routes. Based on the above results, the school-Trip route optimization is formulated as the school bus routing problem (SBRP) and the split demand school bus routing problem (SDSBRP). A max-min ant system with a pheromone smoothing mechanism is proposed for the SBRP and the SDSBRP. Considering the large scale of the problem, a high-compactness K-means algorithm is proposed to determine bus stops before school bus routing. Besides, a public bus allocation strategy is proposed to allocate a fleet of public buses to serve school-Trip routes with low allocation costs. The proposed algorithms are tested on a realistic and challenging dataset from real world. Experimental research results show the advantage of our proposed strategies in reducing overall rush-hour traffic and optimizing school-Trip routes.  © 2007-2012 IEEE.","Heuristic algorithm; school-Trip planning; traffic congestion; transportation system; vehicle routing problem (VRP)"
"Ramadhani B.N.I.F.; Garside A.K.","Ramadhani, Baiq Nurul Izzah Farida (57824660000); Garside, Annisa Kesy (57190378485)","57824660000; 57190378485","Particle Swarm Optimization Algorithm to Solve Vehicle Routing Problem with Fuel Consumption Minimization","2021","Jurnal Optimasi Sistem Industri","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135146518&doi=10.25077%2fjosi.v20.n1.p1-10.2021&partnerID=40&md5=d0519c84ba0922f38d0e082689857139","The Conventional Vehicle Routing Problem (VRP) has the objective function of minimizing the total vehicles’ traveling distance. Since the fuel cost is a relatively high component of transportation costs, in this study, the objective function of VRP has been extended by considering fuel consumption minimization in the situation wherein the loading weight and traveling time are restricted. Based on these assumptions, we proposed to extend the route division procedure proposed by Kuo and Wang [4] such that when one of the restrictions can not be met, the routing division continues to create a new sub-route to find an acceptable solution. To solve the formulated problem, the Particle Swarm Optimization (PSO) algorithm is proposed to optimize the vehicle routing plan. The proposed methodology is validated by solving the problem taking a particular day data from a bottled drinking water distribution company. It was revealed that the saving of at best 13% can be obtained from the actual routes applied by the company. © 2021, Andalas University Faculty of Engineering. All rights reserved.","fuel consumption; loading weight; Particle Swarm Optimization; traveling time; Vehicle routing problem"
"Máximo V.R.; Nascimento M.C.V.","Máximo, Vinícius R. (55601400100); Nascimento, Mariá C.V. (26039334600)","55601400100; 26039334600","A hybrid adaptive iterated local search with diversification control to the capacitated vehicle routing problem","2021","European Journal of Operational Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102023032&doi=10.1016%2fj.ejor.2021.02.024&partnerID=40&md5=e00db3d0efd674e803ae5f2ea4149576","Metaheuristics are widely employed to solve hard optimization problems, like vehicle routing problems (VRP), for which exact solution methods are impractical. In particular, local search-based metaheuristics have been successfully applied to the capacitated VRP (CVRP). The CVRP aims at defining the minimum-cost delivery routes for a given set of identical vehicles since each vehicle only travels one route and there is a single (central) depot. The best metaheuristics to the CVRP avoid getting stuck in local optima by embedding specific hill-climbing mechanisms such as diversification strategies into the solution methods. This paper introduces a hybridization of a novel adaptive version of Iterated Local Search with Path-Relinking (AILS-PR) to the CVRP. The major contribution of this paper is an automatic mechanism to control the diversity step of the metaheuristic to allow it to escape from local optima. The results of experiments with 100 benchmark CVPR instances show that AILS-PR outperformed the state-of-the-art CVRP metaheuristics. © 2021 Elsevier B.V.","Adaptive iterated local search (ILS); Capacitated vehicle routing problem (CVRP); Combinatorial optimization; Path-ReLinking"
"Anderluh A.; Nolz P.C.; Hemmelmayr V.C.; Crainic T.G.","Anderluh, Alexandra (57188555726); Nolz, Pamela C. (23492800300); Hemmelmayr, Vera C. (23097964200); Crainic, Teodor Gabriel (7003675571)","57188555726; 23492800300; 23097964200; 7003675571","Multi-objective optimization of a two-echelon vehicle routing problem with vehicle synchronization and ‘grey zone’ customers arising in urban logistics","2021","European Journal of Operational Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071880690&doi=10.1016%2fj.ejor.2019.07.049&partnerID=40&md5=86df8de35df911ec65f7f556566ba4b2","We present a multi-ob'jective two-echelon vehicle routing problem with vehicle synchronization and ‘grey zone’ customers arising in the context of urban freight deliveries. Inner-city center deliveries are performed by small vehicles due to access restrictions, while deliveries outside this area are carried out by conventional vehicles for economic reasons. Goods are transferred from the first to the second echelon by synchronized meetings between vehicles of the respective echelons. We investigate the assignment of customers to vehicles, i.e., to the first or second echelon, within a so-called ‘grey zone’ on the border of the inner city and the area around it. While doing this, the economic objective as well as negative external effects of transport, such as emissions and disturbance (negative impact on citizens due to noise and congestion), are taken into account to include objectives of companies as well as of citizens and municipal authorities. Our metaheuristic – a large neighborhood search embedded in a heuristic rectangle/cuboid splitting – addresses this problem efficiently. We investigate the impact of the free assignment of part of the customers (‘grey zone’) to echelons and of three different city layouts on the solution. Computational results show that the impact of a ‘grey zone’ and thus the assignment of these customers to echelons depend significantly on the layout of a city. Potentially pareto-optimal solutions for two and three objectives are illustrated to efficiently support decision makers in sustainable city logistics planning processes. © 2019 The Authors","City layout; Multiple objective programming; Two-echelon VRP; Vehicle synchronization; ‘Grey zone’"
"Xia X.; Liao W.; Zhang Y.; Peng X.","Xia, Xiaoyun (56397469600); Liao, Weizhi (9734432700); Zhang, Yu (57225166972); Peng, Xue (56763191000)","56397469600; 9734432700; 57225166972; 56763191000","A discrete spider monkey optimization for the vehicle routing problem with stochastic demands","2021","Applied Soft Computing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110272470&doi=10.1016%2fj.asoc.2021.107676&partnerID=40&md5=f745e95187de0292a70f907f0fb1b5b6","The Vehicle Routing Problem (VRP) is a classical NP-hard combinatorial optimization problem. In recent years, a lot of heuristic algorithms have been proposed for optimizing the problem, and many simulation and practical experiments are performed to evaluate and verify the effectiveness of different heuristic algorithms. In this paper, we focus on the Vehicle Routing Problem with stochastic demands (VRPSD) in which the customer demands follow known probability distributions. A hybrid algorithm called DSMO-GA which combines discrete spider monkey algorithm (SMO) with genetic algorithm (GA) is proposed for solving the VRPSD problem. In the proposed DSMO-GA for VRPSD, the individuals are coded as sets and sequences, and a conflict elimination method is designed to cancel the infeasible codes. Accordingly, a non adjacent 2-OPT is designed to enhance population diversity. The proposed DSMO-GA effectively integrates the advantages of DSMO and GA to further balance the global exploration and local exploitation capacity. Five groups of different experiments are conducted and the results show that DSMO-GA is valid for the VRPSD. Furthermore, the impact of various parameters on the performance of DSMO-GA are also investigated. © 2021 Elsevier B.V.","Non adjacent 2-OPT; Spider monkey optimization (SMO); Stochastic Demands; Swarm intelligence; Vehicle Routing Problem (VRP)"
"Paul A.; Kumar R.S.; Rout C.; Goswami A.","Paul, Arjun (57218355133); Kumar, Ravi Shankar (55492127000); Rout, Chayanika (57209573394); Goswami, Adrijit (7201750983)","57218355133; 55492127000; 57209573394; 7201750983","Designing a multi-depot multi-period vehicle routing problem with time window: hybridization of tabu search and variable neighbourhood search algorithm","2021","Sadhana - Academy Proceedings in Engineering Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114272488&doi=10.1007%2fs12046-021-01693-2&partnerID=40&md5=d3127dfdb8c0455912b49b636c5ad5cd","This research formulates a real-life multi-depot and multi-period vehicle routing problem (MDMPVRP) by imposing time window (TW) and many other constraints. A set of customers, spread in different locations, are to be served by a fleet of heterogeneous vehicles over a finite number of periods. Each customer is associated with combinations of routes and vehicles over the period. A customer must be served in one of the allowable combinations. The objective of this MDMPVRP-TW is to minimize the total distance traversed by the fleet over the planning horizon. The proposed MDMPVRP-TW is an extension of vehicle routing problem (VRP), and is hence an NP-hard problem. In order to optimize it, we propose a hybrid meta-heuristic approach by combining tabu search (TS) and variable neighbourhood search (VNS) algorithms. Furthermore, to provide richer insights, the efficacy of the proposed method and mathematical formulation is demonstrated through numerical experiments for a number of instances varying from small to large scale. © 2021, Indian Academy of Sciences.","allowable combination; hybrid VNS–TS; Multi-depot vehicle routing problem; multi-period; time window"
